Label,Model assigned score
"Nonbinder, training set",-1.5740675
"Nonbinder, training set",-1.4219532
"Nonbinder, training set",-1.7374625
"Nonbinder, training set",-2.264801
"Binder, training set",-0.3294353
"Nonbinder, training set",-2.6064062
"Binder, training set",1.4721831
"Nonbinder, training set",1.7354485
"Binder, training set",3.199769
"Nonbinder, training set",-1.4119184
"Binder, training set",2.5205364
"Nonbinder, training set",-3.3981867
"Nonbinder, training set",-3.0196085
"Nonbinder, training set",-2.1100469
"Nonbinder, training set",-2.8591952
"Binder, training set",1.3671244
"Nonbinder, training set",-0.8599985
"Nonbinder, training set",1.7182864
"Nonbinder, training set",-2.3281164
"Nonbinder, training set",-2.4931197
"Nonbinder, training set",-0.12780195
"Nonbinder, training set",-1.4647596
"Nonbinder, training set",-2.475922
"Nonbinder, training set",-3.1432915
"Binder, training set",0.9029441
"Nonbinder, training set",-1.0320652
"Binder, training set",2.3105416
"Nonbinder, training set",-2.7495813
"Nonbinder, training set",-2.4426668
"Nonbinder, training set",-1.0159316
"Binder, training set",-1.0350856
"Binder, training set",0.6830058
"Binder, training set",2.1578183
"Nonbinder, training set",-2.2387977
"Nonbinder, training set",-0.41453445
"Binder, training set",-0.006467581
"Binder, training set",1.1910572
"Nonbinder, training set",-1.9719926
"Nonbinder, training set",-0.31473762
"Nonbinder, training set",-2.2855372
"Nonbinder, training set",-2.6229444
"Nonbinder, training set",-2.07922
"Nonbinder, training set",-1.8325036
"Binder, training set",1.4889752
"Nonbinder, training set",-1.7092993
"Binder, training set",3.215115
"Binder, training set",1.4420007
"Nonbinder, training set",-0.92272514
"Nonbinder, training set",-3.2248354
"Nonbinder, training set",-2.641656
"Nonbinder, training set",-0.34752005
"Binder, training set",0.52299726
"Nonbinder, training set",-2.0374813
"Binder, training set",1.8571409
"Binder, training set",1.6971232
"Binder, training set",3.103764
"Nonbinder, training set",-1.6643339
"Nonbinder, training set",1.0704303
"Nonbinder, training set",-2.5888448
"Binder, training set",0.808535
"Binder, training set",-1.0384724
"Nonbinder, training set",0.19422251
"Nonbinder, training set",-2.9525042
"Nonbinder, training set",-2.718461
"Nonbinder, training set",1.7187778
"Nonbinder, training set",-1.0639598
"Binder, training set",1.5009297
"Nonbinder, training set",-1.6146452
"Binder, training set",1.4836348
"Binder, training set",3.8772368
"Nonbinder, training set",-2.5891547
"Nonbinder, training set",-2.784453
"Nonbinder, training set",0.51284313
"Nonbinder, training set",-2.8314247
"Binder, training set",1.2637398
"Nonbinder, training set",-1.2998729
"Nonbinder, training set",-0.14555746
"Binder, training set",0.6117202
"Nonbinder, training set",-2.6099944
"Nonbinder, training set",1.4150933
"Nonbinder, training set",-3.6550822
"Nonbinder, training set",-2.441216
"Binder, training set",2.4477377
"Nonbinder, training set",1.7698239
"Nonbinder, training set",-0.8905726
"Binder, training set",2.2989092
"Binder, training set",1.7000626
"Binder, training set",0.102629185
"Nonbinder, training set",1.6216022
"Nonbinder, training set",0.8655703
"Binder, training set",0.9634285
"Nonbinder, training set",-2.456547
"Nonbinder, training set",-2.622775
"Nonbinder, training set",-1.5872524
"Binder, training set",0.01478672
"Nonbinder, training set",-1.4192616
"Binder, training set",1.970908
"Nonbinder, training set",-2.3599133
"Binder, training set",3.1512055
"Binder, training set",2.724061
"Nonbinder, training set",-3.153893
"Binder, training set",1.9628044
"Binder, training set",-0.012096643
"Binder, training set",1.4914559
"Binder, training set",0.08397597
"Nonbinder, training set",1.3609576
"Nonbinder, training set",-3.3631659
"Nonbinder, training set",-0.96598905
"Nonbinder, training set",0.3475331
"Nonbinder, training set",0.39786267
"Nonbinder, training set",-1.2403649
"Binder, training set",2.399458
"Nonbinder, training set",-3.6486468
"Nonbinder, training set",1.5603374
"Nonbinder, training set",-3.2106028
"Nonbinder, training set",-0.75054526
"Nonbinder, training set",-0.81842667
"Nonbinder, training set",-1.1958022
"Nonbinder, training set",-1.48563
"Nonbinder, training set",-2.2673857
"Nonbinder, training set",1.1909295
"Binder, training set",-0.6692762
"Nonbinder, training set",-2.4128728
"Binder, training set",1.5794145
"Nonbinder, training set",-2.2746034
"Nonbinder, training set",-3.0621924
"Nonbinder, training set",-3.1586528
"Nonbinder, training set",-2.6217642
"Nonbinder, training set",-3.3165674
"Nonbinder, training set",1.7780305
"Nonbinder, training set",0.08164799
"Nonbinder, training set",-1.7719318
"Binder, training set",-0.76912475
"Nonbinder, training set",-1.0301803
"Nonbinder, training set",-2.5634701
"Nonbinder, training set",0.7648107
"Binder, training set",2.1929574
"Binder, training set",1.6530474
"Nonbinder, training set",-1.391254
"Nonbinder, training set",-0.93347275
"Nonbinder, training set",-2.6061358
"Nonbinder, training set",-2.8174958
"Nonbinder, training set",-0.26095584
"Nonbinder, training set",-2.9550524
"Binder, training set",2.0801482
"Nonbinder, training set",-3.0010252
"Nonbinder, training set",0.89144504
"Nonbinder, training set",-3.0344844
"Nonbinder, training set",-3.0422015
"Binder, training set",2.4934802
"Nonbinder, training set",-3.1939201
"Nonbinder, training set",-1.8015529
"Nonbinder, training set",-0.42623943
"Nonbinder, training set",1.8751005
"Binder, training set",-0.50987476
"Binder, training set",0.91125023
"Nonbinder, training set",-1.3555123
"Nonbinder, training set",-0.8171265
"Nonbinder, training set",-2.217689
"Nonbinder, training set",0.38174748
"Binder, training set",-0.11231494
"Nonbinder, training set",-0.10772574
"Nonbinder, training set",1.1659952
"Nonbinder, training set",-1.448585
"Nonbinder, training set",-0.34317625
"Nonbinder, training set",-2.364707
"Nonbinder, training set",-2.6294556
"Nonbinder, training set",-1.9323477
"Nonbinder, training set",-3.2176871
"Nonbinder, training set",0.7862215
"Binder, training set",-1.3837404
"Nonbinder, training set",-2.6294417
"Binder, training set",2.7883081
"Binder, training set",0.40403485
"Nonbinder, training set",-0.97393453
"Nonbinder, training set",-1.7044328
"Nonbinder, training set",-1.2592672
"Nonbinder, training set",-2.2562287
"Nonbinder, training set",-0.27507108
"Nonbinder, training set",-2.247598
"Nonbinder, training set",-1.4600438
"Nonbinder, training set",-3.0622158
"Nonbinder, training set",0.33788276
"Nonbinder, training set",-2.7809925
"Binder, training set",-0.53580123
"Nonbinder, training set",-3.3060799
"Binder, training set",2.1069064
"Nonbinder, training set",-2.140286
"Nonbinder, training set",-0.6533644
"Nonbinder, training set",-1.0427952
"Nonbinder, training set",-2.5676012
"Nonbinder, training set",-1.9256451
"Nonbinder, training set",-2.7260695
"Binder, training set",1.8597759
"Nonbinder, training set",-2.7778683
"Binder, training set",1.8286937
"Nonbinder, training set",1.3137417
"Nonbinder, training set",-0.15863448
"Binder, training set",0.57734966
"Nonbinder, training set",2.1702027
"Nonbinder, training set",-2.7434235
"Nonbinder, training set",0.23464435
"Binder, training set",1.5021771
"Nonbinder, training set",-1.5989565
"Nonbinder, training set",2.3271713
"Nonbinder, training set",-2.144363
"Nonbinder, training set",0.9890605
"Nonbinder, training set",-2.9938211
"Binder, training set",2.9541354
"Nonbinder, training set",-3.3925147
"Binder, training set",2.7549362
"Nonbinder, training set",-1.5924923
"Nonbinder, training set",-0.33916438
"Nonbinder, training set",0.2883802
"Nonbinder, training set",0.8028568
"Binder, training set",0.60789335
"Binder, training set",2.4938426
"Nonbinder, training set",-1.6919223
"Nonbinder, training set",0.27376795
"Nonbinder, training set",-2.6780996
"Binder, training set",2.0040407
"Nonbinder, training set",-2.2770705
"Nonbinder, training set",-2.4662933
"Binder, training set",2.0320911
"Nonbinder, training set",-2.2789335
"Nonbinder, training set",-1.2812848
"Nonbinder, training set",0.37012756
"Nonbinder, training set",1.1751026
"Nonbinder, training set",-2.5523887
"Binder, training set",2.7745256
"Nonbinder, training set",-2.5461674
"Nonbinder, training set",-1.8469926
"Nonbinder, training set",-2.431378
"Nonbinder, training set",-2.7640119
"Binder, training set",1.9185599
"Binder, training set",1.2629896
"Nonbinder, training set",-2.7540436
"Nonbinder, training set",-2.9192944
"Binder, training set",0.2395804
"Nonbinder, training set",-2.6885266
"Nonbinder, training set",-2.1731188
"Nonbinder, training set",-2.375769
"Nonbinder, training set",-2.3059459
"Nonbinder, training set",-0.8568914
"Nonbinder, training set",-2.4132352
"Nonbinder, training set",-2.5538704
"Nonbinder, training set",-3.0813432
"Nonbinder, training set",-2.966217
"Binder, training set",1.3538283
"Nonbinder, training set",-1.9344077
"Nonbinder, training set",-1.6271024
"Nonbinder, training set",-1.440836
"Nonbinder, training set",-2.5784726
"Nonbinder, training set",1.2550359
"Nonbinder, training set",-1.7165247
"Binder, training set",2.132606
"Nonbinder, training set",-2.977209
"Nonbinder, training set",-2.8452792
"Nonbinder, training set",1.2977123
"Nonbinder, training set",-2.4764943
"Nonbinder, training set",-2.225131
"Binder, training set",-2.5756145
"Nonbinder, training set",1.9841362
"Nonbinder, training set",-1.5342724
"Binder, training set",2.5595741
"Nonbinder, training set",-2.6121674
"Binder, training set",1.7514933
"Binder, training set",2.2091851
"Binder, training set",1.8017873
"Nonbinder, training set",-3.0461926
"Nonbinder, training set",1.160584
"Nonbinder, training set",2.2709475
"Binder, training set",0.5066836
"Nonbinder, training set",1.4078974
"Nonbinder, training set",-3.5577111
"Binder, training set",1.8055319
"Nonbinder, training set",-2.0485616
"Nonbinder, training set",-2.8894444
"Nonbinder, training set",-0.31267166
"Binder, training set",2.4694557
"Nonbinder, training set",-3.0385985
"Binder, training set",1.2855955
"Nonbinder, training set",-0.8170065
"Nonbinder, training set",-3.678321
"Nonbinder, training set",-3.203888
"Nonbinder, training set",-2.5182917
"Nonbinder, training set",-2.4589162
"Binder, training set",1.8851467
"Binder, training set",3.6031485
"Nonbinder, training set",-2.2687044
"Nonbinder, training set",-1.9617589
"Nonbinder, training set",0.66324604
"Nonbinder, training set",-2.431044
"Binder, training set",-0.039596558
"Nonbinder, training set",-2.2261574
"Nonbinder, training set",0.25302404
"Nonbinder, training set",0.81896544
"Nonbinder, training set",-0.22553688
"Binder, training set",1.6981589
"Nonbinder, training set",-3.148581
"Nonbinder, training set",-1.1288104
"Nonbinder, training set",-2.7925835
"Binder, training set",0.8627907
"Nonbinder, training set",-2.8958
"Nonbinder, training set",-2.484569
"Nonbinder, training set",-1.02701
"Nonbinder, training set",0.38220108
"Nonbinder, training set",-0.72141296
"Nonbinder, training set",-1.1574056
"Binder, training set",1.66055
"Binder, training set",2.8365579
"Binder, training set",3.108406
"Nonbinder, training set",-1.673623
"Nonbinder, training set",-3.0175061
"Binder, training set",2.006761
"Binder, training set",2.5604305
"Nonbinder, training set",-2.1970217
"Binder, training set",2.7962022
"Nonbinder, training set",-1.3733337
"Binder, training set",2.1940055
"Binder, training set",2.1753983
"Nonbinder, training set",-2.5136423
"Nonbinder, training set",-0.101159334
"Binder, training set",1.2457927
"Nonbinder, training set",-2.940217
"Nonbinder, training set",1.861072
"Nonbinder, training set",-2.3242102
"Nonbinder, training set",-2.7024736
"Nonbinder, training set",-1.3779896
"Nonbinder, training set",-2.5730252
"Nonbinder, training set",-2.803331
"Nonbinder, training set",-0.84252626
"Binder, training set",-0.4758181
"Nonbinder, training set",-2.02125
"Nonbinder, training set",-0.44254893
"Nonbinder, training set",-2.8693933
"Nonbinder, training set",-3.224504
"Nonbinder, training set",-0.37970084
"Nonbinder, training set",-2.8297768
"Binder, training set",1.1961625
"Binder, training set",2.0489883
"Binder, training set",1.5604993
"Nonbinder, training set",-2.8040109
"Nonbinder, training set",-1.9759796
"Nonbinder, training set",-2.416957
"Nonbinder, training set",1.6962956
"Nonbinder, training set",-0.063296735
"Nonbinder, training set",1.2929786
"Nonbinder, training set",0.60967374
"Nonbinder, training set",-2.8510208
"Nonbinder, training set",-2.4313674
"Nonbinder, training set",-2.3705063
"Nonbinder, training set",-1.3877518
"Binder, training set",0.8849267
"Nonbinder, training set",-2.779426
"Binder, training set",2.9046888
"Nonbinder, training set",0.24747014
"Nonbinder, training set",-2.3432655
"Nonbinder, training set",-3.1341195
"Nonbinder, training set",1.798242
"Binder, training set",1.5582584
"Nonbinder, training set",-1.1119086
"Nonbinder, training set",-2.5933485
"Nonbinder, training set",-0.7123102
"Nonbinder, training set",-2.8368845
"Nonbinder, training set",0.1610291
"Nonbinder, training set",-2.8375425
"Nonbinder, training set",-1.8731775
"Nonbinder, training set",-1.4074603
"Binder, training set",3.1483989
"Nonbinder, training set",-1.7369248
"Nonbinder, training set",-2.972485
"Nonbinder, training set",-2.4235024
"Nonbinder, training set",-2.209464
"Nonbinder, training set",0.57266057
"Nonbinder, training set",-1.0708759
"Binder, training set",1.1257691
"Binder, training set",-0.6655835
"Binder, training set",0.66232455
"Nonbinder, training set",-1.7790459
"Nonbinder, training set",2.0000577
"Nonbinder, training set",-2.9306383
"Nonbinder, training set",-3.2048478
"Binder, training set",-0.646682
"Nonbinder, training set",-1.650413
"Binder, training set",2.458744
"Nonbinder, training set",-3.0481725
"Nonbinder, training set",-1.4967129
"Nonbinder, training set",-1.4573101
"Nonbinder, training set",-1.532326
"Nonbinder, training set",-2.711894
"Nonbinder, training set",-1.1969321
"Nonbinder, training set",-2.2473335
"Nonbinder, training set",-3.6558046
"Nonbinder, training set",-0.3493319
"Nonbinder, training set",0.6092235
"Nonbinder, training set",-2.241354
"Nonbinder, training set",-2.177631
"Nonbinder, training set",4.8896794
"Nonbinder, training set",-3.0466166
"Nonbinder, training set",-1.6688339
"Nonbinder, training set",-2.2811146
"Nonbinder, training set",-2.500886
"Nonbinder, training set",-3.5768862
"Nonbinder, training set",-1.5850527
"Nonbinder, training set",-3.1572719
"Nonbinder, training set",-1.7192134
"Nonbinder, training set",-2.104238
"Nonbinder, training set",-1.5906435
"Nonbinder, training set",-2.9963465
"Nonbinder, training set",1.1331859
"Binder, training set",-0.7049314
"Binder, training set",3.5971704
"Nonbinder, training set",0.44543087
"Binder, training set",-0.6133174
"Nonbinder, training set",-1.5059682
"Nonbinder, training set",-1.9137381
"Binder, training set",2.1261153
"Binder, training set",1.7827479
"Nonbinder, training set",-1.9538202
"Nonbinder, training set",-0.6418689
"Nonbinder, training set",-2.854751
"Nonbinder, training set",-0.62616163
"Nonbinder, training set",-3.7433805
"Binder, training set",0.6941731
"Nonbinder, training set",-2.5714898
"Nonbinder, training set",-3.467708
"Nonbinder, training set",-2.3971121
"Binder, training set",1.0461234
"Binder, training set",-1.0960425
"Nonbinder, training set",-0.5820409
"Nonbinder, training set",-1.1007743
"Binder, training set",1.3446708
"Nonbinder, training set",-1.7845968
"Nonbinder, training set",-0.85398126
"Nonbinder, training set",-3.6848989
"Nonbinder, training set",-0.65884256
"Nonbinder, training set",-2.3125386
"Nonbinder, training set",-2.818882
"Nonbinder, training set",-1.349516
"Nonbinder, training set",-1.2159107
"Nonbinder, training set",-0.73613846
"Nonbinder, training set",1.590846
"Nonbinder, training set",-1.5447562
"Nonbinder, training set",-2.366177
"Nonbinder, training set",-2.2283268
"Binder, training set",1.276669
"Nonbinder, training set",-1.7280616
"Binder, training set",4.2541876
"Nonbinder, training set",-1.0227773
"Nonbinder, training set",-1.9081166
"Nonbinder, training set",-1.4428613
"Nonbinder, training set",-0.29467034
"Nonbinder, training set",-2.4095716
"Binder, training set",2.4911542
"Nonbinder, training set",-1.4751738
"Nonbinder, training set",-0.20637721
"Binder, training set",1.240284
"Binder, training set",2.5281706
"Nonbinder, training set",1.2927022
"Nonbinder, training set",3.1295571
"Nonbinder, training set",-2.4428422
"Nonbinder, training set",-0.55164015
"Nonbinder, training set",0.7041427
"Nonbinder, training set",-2.2738144
"Nonbinder, training set",-0.552589
"Binder, training set",-1.7354301
"Nonbinder, training set",-2.9170222
"Nonbinder, training set",-2.5923715
"Nonbinder, training set",-0.8405857
"Nonbinder, training set",-2.6718159
"Binder, training set",-0.019767344
"Nonbinder, training set",0.02939117
"Nonbinder, training set",-2.4959188
"Binder, training set",1.1287214
"Nonbinder, training set",-2.0877416
"Binder, training set",2.539761
"Nonbinder, training set",-2.005344
"Nonbinder, training set",2.8742065
"Nonbinder, training set",1.6899215
"Nonbinder, training set",1.4965883
"Nonbinder, training set",-1.0531961
"Binder, training set",1.1280515
"Binder, training set",1.2371384
"Binder, training set",-0.26518178
"Binder, training set",2.5794806
"Binder, training set",0.2892549
"Nonbinder, training set",-2.006458
"Nonbinder, training set",-0.5811625
"Nonbinder, training set",-3.2982163
"Nonbinder, training set",1.3578392
"Nonbinder, training set",-3.0473962
"Nonbinder, training set",-1.2272286
"Binder, training set",-0.064600945
"Binder, training set",1.6655625
"Binder, training set",3.9315543
"Nonbinder, training set",-0.81858754
"Nonbinder, training set",-0.34465617
"Nonbinder, training set",-0.35052955
"Nonbinder, training set",-1.2472523
"Nonbinder, training set",-0.92081046
"Binder, training set",2.7003675
"Binder, training set",2.5381966
"Nonbinder, training set",-2.3427944
"Nonbinder, training set",-2.2453475
"Nonbinder, training set",2.6382103
"Nonbinder, training set",-0.32631308
"Nonbinder, training set",-2.1076636
"Nonbinder, training set",-1.7365872
"Nonbinder, training set",-2.7098832
"Nonbinder, training set",-3.1163592
"Nonbinder, training set",-1.3176608
"Nonbinder, training set",-1.9940314
"Nonbinder, training set",-2.776783
"Nonbinder, training set",-0.33769858
"Nonbinder, training set",-4.033624
"Nonbinder, training set",-2.0468123
"Nonbinder, training set",-3.1400523
"Nonbinder, training set",0.92049825
"Nonbinder, training set",-1.9011023
"Nonbinder, training set",1.2346522
"Nonbinder, training set",-1.6317483
"Binder, training set",2.1087956
"Binder, training set",0.65945673
"Nonbinder, training set",-0.842301
"Binder, training set",0.74950254
"Nonbinder, training set",1.2988998
"Nonbinder, training set",-0.5271894
"Nonbinder, training set",-0.24039531
"Binder, training set",3.8691702
"Nonbinder, training set",2.1961613
"Nonbinder, training set",-3.427361
"Nonbinder, training set",0.8613342
"Binder, training set",0.7192439
"Binder, training set",5.810589
"Nonbinder, training set",-2.00983
"Nonbinder, training set",1.751017
"Binder, training set",2.7177286
"Nonbinder, training set",1.9413711
"Nonbinder, training set",-2.464972
"Nonbinder, training set",-2.65839
"Binder, training set",-1.605969
"Nonbinder, training set",-2.5481768
"Nonbinder, training set",-2.336918
"Binder, training set",2.035088
"Nonbinder, training set",-1.7960101
"Nonbinder, training set",1.1526233
"Nonbinder, training set",-1.888685
"Binder, training set",1.2107474
"Binder, training set",-2.9179816
"Binder, training set",1.7701949
"Nonbinder, training set",-3.344338
"Nonbinder, training set",-0.91070783
"Nonbinder, training set",0.7938976
"Nonbinder, training set",-1.7903547
"Nonbinder, training set",-3.6071424
"Nonbinder, training set",-1.6382264
"Nonbinder, training set",-1.9314089
"Nonbinder, training set",-2.565179
"Binder, training set",1.6057478
"Nonbinder, training set",-0.51190126
"Binder, training set",1.827639
"Binder, training set",-2.5449498
"Nonbinder, training set",-0.018644571
"Binder, training set",1.8990642
"Nonbinder, training set",-0.8952374
"Nonbinder, training set",-2.9770117
"Nonbinder, training set",-0.5202985
"Nonbinder, training set",-3.662724
"Nonbinder, training set",-4.012508
"Nonbinder, training set",-2.5833244
"Nonbinder, training set",-2.4648957
"Nonbinder, training set",-2.5628786
"Binder, training set",3.0592618
"Nonbinder, training set",-1.3147445
"Nonbinder, training set",-2.4784307
"Nonbinder, training set",-3.177544
"Nonbinder, training set",-3.436335
"Nonbinder, training set",-0.6938853
"Nonbinder, training set",0.3654521
"Binder, training set",1.9619955
"Binder, training set",1.2283764
"Nonbinder, training set",-3.2928457
"Nonbinder, training set",-1.7107183
"Binder, training set",2.0824094
"Nonbinder, training set",-3.193007
"Nonbinder, training set",-2.7089982
"Binder, training set",0.38526297
"Binder, training set",1.7242788
"Nonbinder, training set",-1.478606
"Nonbinder, training set",-0.82488406
"Nonbinder, training set",-2.2910433
"Nonbinder, training set",-2.8240042
"Nonbinder, training set",-2.0741792
"Nonbinder, training set",-1.6804045
"Nonbinder, training set",-2.878911
"Binder, training set",3.8623514
"Nonbinder, training set",0.3421868
"Nonbinder, training set",-0.0101726055
"Binder, training set",0.7932559
"Nonbinder, training set",-3.3668585
"Nonbinder, training set",1.3177981
"Binder, training set",1.3051242
"Nonbinder, training set",2.967379
"Binder, training set",0.9959794
"Nonbinder, training set",0.73944354
"Binder, training set",0.6401042
"Binder, training set",2.0146952
"Nonbinder, training set",-0.82755935
"Binder, training set",0.5882294
"Nonbinder, training set",-1.7099571
"Nonbinder, training set",-1.1660217
"Nonbinder, training set",-0.49951535
"Nonbinder, training set",-1.3579829
"Nonbinder, training set",-1.005806
"Binder, training set",1.797913
"Nonbinder, training set",-3.0095515
"Binder, training set",0.15833044
"Nonbinder, training set",-2.258275
"Binder, training set",-0.7325216
"Nonbinder, training set",-2.0237036
"Nonbinder, training set",-2.82802
"Binder, training set",1.1364628
"Nonbinder, training set",-0.3521801
"Nonbinder, training set",-2.2408004
"Binder, training set",1.8314687
"Binder, training set",2.4042006
"Binder, training set",1.7779993
"Nonbinder, training set",-2.8463693
"Nonbinder, training set",-2.6564503
"Nonbinder, training set",-1.9198114
"Nonbinder, training set",1.0800563
"Binder, training set",2.1708117
"Binder, training set",1.4751152
"Nonbinder, training set",-1.0954733
"Nonbinder, training set",-2.2238543
"Nonbinder, training set",-3.126206
"Nonbinder, training set",-2.759315
"Nonbinder, training set",0.9871814
"Nonbinder, training set",-0.06919372
"Nonbinder, training set",-1.4269449
"Nonbinder, training set",0.9263114
"Binder, training set",1.269941
"Nonbinder, training set",0.21107042
"Nonbinder, training set",-0.67481345
"Nonbinder, training set",-1.5244572
"Nonbinder, training set",2.154265
"Binder, training set",2.898809
"Nonbinder, training set",-0.87718034
"Nonbinder, training set",-2.643136
"Nonbinder, training set",-2.8513079
"Nonbinder, training set",-1.3712031
"Nonbinder, training set",-1.8284234
"Nonbinder, training set",-3.3718476
"Nonbinder, training set",-2.819263
"Binder, training set",-0.31757194
"Nonbinder, training set",0.5586786
"Nonbinder, training set",-1.3670471
"Binder, training set",1.2887617
"Nonbinder, training set",-2.9143624
"Nonbinder, training set",-2.321825
"Nonbinder, training set",-3.6803756
"Nonbinder, training set",-3.9470377
"Binder, training set",3.6885166
"Binder, training set",1.5284914
"Binder, training set",1.1462878
"Binder, training set",3.3719378
"Nonbinder, training set",-1.4571718
"Nonbinder, training set",-2.1149142
"Nonbinder, training set",-2.262599
"Nonbinder, training set",-2.5747595
"Nonbinder, training set",-2.8634539
"Binder, training set",2.0413618
"Nonbinder, training set",-2.742045
"Nonbinder, training set",-2.5499473
"Nonbinder, training set",2.0478725
"Nonbinder, training set",0.40561628
"Binder, training set",0.8735404
"Binder, training set",1.9673024
"Nonbinder, training set",-2.5426033
"Binder, training set",0.26809973
"Nonbinder, training set",-3.8127627
"Binder, training set",-1.460278
"Binder, training set",1.8167607
"Nonbinder, training set",-2.1643453
"Binder, training set",-0.1397694
"Nonbinder, training set",-1.5546082
"Nonbinder, training set",-2.7209544
"Binder, training set",2.3770432
"Nonbinder, training set",0.14113462
"Nonbinder, training set",1.2129229
"Binder, training set",2.282692
"Nonbinder, training set",-2.0396156
"Binder, training set",0.34953082
"Binder, training set",2.5641198
"Binder, training set",4.0576844
"Nonbinder, training set",-0.29557276
"Nonbinder, training set",-2.0543253
"Nonbinder, training set",1.5981144
"Nonbinder, training set",-0.658588
"Nonbinder, training set",-2.7036982
"Nonbinder, training set",-2.6493502
"Binder, training set",2.1724224
"Nonbinder, training set",-2.6221309
"Nonbinder, training set",1.8865563
"Binder, training set",0.39805353
"Nonbinder, training set",-2.6553535
"Binder, training set",-0.36594456
"Nonbinder, training set",3.2316322
"Nonbinder, training set",-0.08459106
"Nonbinder, training set",-2.1533036
"Binder, training set",0.23108315
"Nonbinder, training set",-2.0491567
"Binder, training set",0.59882283
"Nonbinder, training set",1.786337
"Binder, training set",1.4994067
"Nonbinder, training set",-2.6181726
"Nonbinder, training set",0.675923
"Binder, training set",1.9457365
"Nonbinder, training set",-2.7067456
"Nonbinder, training set",-2.494769
"Binder, training set",2.2834635
"Nonbinder, training set",-2.7041054
"Nonbinder, training set",-0.9514845
"Nonbinder, training set",-3.8261504
"Nonbinder, training set",-3.783966
"Nonbinder, training set",0.89175344
"Nonbinder, training set",2.447906
"Nonbinder, training set",-2.518139
"Nonbinder, training set",-2.70157
"Nonbinder, training set",-1.6491059
"Nonbinder, training set",-0.9578599
"Nonbinder, training set",-1.971485
"Nonbinder, training set",-2.9384937
"Nonbinder, training set",-0.71010536
"Nonbinder, training set",-1.6161476
"Nonbinder, training set",-2.0441868
